Team,Input,Total
RCB,54,172
RCB,41,157
RCB,23,148
RCB,41,145
RCB,42,161
RCB,45,213
RCB,39,49
RCB,35,134
RCB,39,96
RCB,52,165
RCB,46,119
RCB,40,158
RCB,37,151
RCB,26,82
RCB,40,166
RCB,57,135
RCB,45,178
RCB,55,181
RCB,43,171
RCB,26,127
RCB,35,124
RCB,36,122
RCB,50,144
RCB,23,197
RCB,41,154
RCB,23,126
RCB,46,156
RCB,29,58
RCB,46,87
RCB,31,160
RCB,49,173
RCB,45,149
RCB,46,139
RCB,38,137
RCB,51,150
RCB,29,105
RCB,39,141
RCB,46,176
RCB,33,129
RCB,27,135
RCB,33,170
RCB,59,146
RCB,36,137
RCB,24,135
RCB,61,204
RCB,59,93
RCB,55,155
RCB,38,135
RCB,46,166
RCB,52,161
RCB,51,184
RCB,38,147
RCB,46,184
RCB,48,162
RCB,38,138
RCB,59,132
RCB,34,134
RCB,44,149
RCB,33,82
RCB,48,162
RCB,24,143
RCB,28,142
RCB,33,162
RCB,57,171
RCB,65,161
RCB,57,181
RCB,48,205
RCB,79,128
RCB,66,151
RCB,65,89
RCB,34,121
RCB,44,128
RCB,44,175
RCB,68,185
RCB,47,147
RCB,46,157
RCB,20,123
RCB,56,205
RCB,54,136
RCB,42,186
RCB,36,166
RCB,37,189
RCB,35,143
RCB,33,158
RCB,46,181
RCB,35,142
RCB,66,138
RCB,40,171
RCB,42,215
RCB,40,132
RCB,31,154
RCB,55,145
RCB,43,158
RCB,33,165
RCB,63,167
RCB,48,123
RCB,62,263
RCB,35,136
RCB,55,171
RCB,30,187
RCB,31,174
RCB,47,162
RCB,40,179
RCB,22,115
RCB,58,190
RCB,76,106
RCB,50,146
RCB,30,115
RCB,49,148
RCB,22,70
RCB,44,127
RCB,36,158
RCB,64,168
RCB,34,166
RCB,31,191
RCB,34,186
RCB,17,142
RCB,25,160
RCB,36,195
RCB,34,154
RCB,41,179
RCB,47,172
RCB,33,191
RCB,38,154
RCB,49,134
RCB,50,99
RCB,52,200
RCB,62,115
RCB,42,148
RCB,68,88
RCB,39,196
RCB,61,84
RCB,83,83
RCB,2,2
RCB,41,109
RCB,29,139
RCB,49,227
RCB,63,191
RCB,49,170
RCB,48,185
RCB,50,180
RCB,45,179
RCB,40,185
RCB,46,191
RCB,56,175
RCB,25,153
RCB,42,104
RCB,63,183
RCB,63,211
RCB,49,139
RCB,31,158
RCB,59,208
RCB,57,182
RCB,42,163
RCB,65,204
RCB,57,230
RCB,44,180
RCB,52,213
RCB,43,185
RCB,44,173
RCB,50,131
RCB,56,146
RCB,63,188
RCB,68,96
RCB,44,209
RCB,56,137
RCB,35,74
RCB,60,186
RCB,34,120
RCB,51,174
RCB,53,219
RCB,43,154
RCB,63,175
RCB,50,179
RCB,44,219
RCB,50,165
RCB,75,213
RCB,66,176
RCB,65,65
RCB,53,187
